Equipment_ID,Type,Site_ID,Check_In_Date,Check_Out_Date,Engine_Hours_Day,Idle_Hours_Day,Rental_Days,Last_Operator_ID
EQX4003,Grader,S001,2025-01-05,2025-01-20,6.3,2.8,15,OP108
EQX4003,Grader,S002,2025-01-23,2025-02-04,6.0,2.1,12,OP109
EQX4003,Grader,S007,2025-02-09,2025-02-21,6.4,2.1,12,OP104
EQX5001,Loader,S001,2025-01-05,2025-01-25,6.8,2.5,20,OP108
EQX5001,Loader,S004,2025-01-28,2025-02-12,6.2,1.9,15,OP102
EQX5001,Loader,S007,2025-02-15,2025-03-02,5.6,2.1,15,OP115
EQX5002,Loader,S007,2025-01-05,2025-01-20,6.4,2.4,15,OP116
EQX5002,Loader,S005,2025-01-23,2025-02-04,6.0,2.7,12,OP102
EQX5002,Loader,S005,2025-02-11,2025-02-25,5.7,2.3,14,OP106
EQX1005,Excavator,S005,2025-01-05,2025-01-23,1.0,8.2,18,OP103
EQX1005,Excavator,S005,2025-01-30,2025-02-11,1.4,8.9,12,OP108
EQX1005,Excavator,S006,2025-02-18,2025-03-08,0.9,8.1,18,OP111
EQX1006,Excavator,S003,2025-01-05,2025-01-17,7.4,1.6,12,OP113
EQX1006,Excavator,S007,2025-01-20,2025-02-09,7.4,1.8,20,OP103
EQX1006,Excavator,S001,2025-02-12,2025-02-27,7.3,1.9,15,OP103
EQX2005,Bulldozer,S002,2025-01-10,2025-01-24,6.4,2.6,14,OP109
EQX2005,Bulldozer,S002,2025-01-29,2025-02-10,6.6,2.4,12,OP112
EQX2005,Bulldozer,S001,2025-02-15,2025-03-02,11.8,0.2,15,OP108
EQX6001,Crane,S003,2025-04-10,2025-04-24,6.0,2.0,14,OP103
EQX6002,Grader,S003,2025-04-12,2025-04-27,6.2,1.8,15,OP105
EQX6003,Loader,S003,2025-04-14,2025-04-28,1.2,8.8,14,OP107
EQX6004,Bulldozer,S002,2025-04-16,2025-04-26,1.5,8.5,10,OP110
EQX6005,Crane,S004,2025-04-18,2025-04-28,1.8,8.2,10,OP110
EQX6006,Grader,S005,2025-04-20,2025-05-01,1.4,8.6,11,OP110
EQX1002,Excavator,NULL,2025-04-01,2025-04-16,5.0,3.0,15,OP102
EQX2003,Bulldozer,S002,2025-04-02,2025-04-14,5.5,2.5,12,NULL
EQX4003,Grader,S006,2025-04-05,2025-04-20,1.8,9.2,15,OP108
EQX3003,Crane,S001,2025-04-06,2025-04-16,18.0,9.0,10,OP104
EQX5002,Loader,S004,2025-05-10,2025-05-02,5.0,2.0,8,OP111
EQX2004,Bulldozer,S003,2025-04-08,2025-04-18,0.0,0.0,10,OP112
EQX3004,Crane,S005,2025-01-22,2025-02-15,5.0,3.0,25,OP109
EQX4004,Grader,S002,2025-05-01,2025-05-20,6.0,2.0,19,OP113
EQX4004,Grader,S006,2025-05-10,2025-05-25,5.5,2.5,15,OP114
EQX1003,Excavator,S001,2025-05-15,,5.0,2.0,,OP115
EQX2001,Bulldozer,S007,2025-05-28,,6.0,2.0,,OP101
EQX5003,Loader,S007,2025-05-05,2025-05-05,3.0,1.0,0,OP116
EQX6007,Loader,S001,2025-06-01,2025-06-10,6.0,2.5,9,OP106
